stage,subset,gender,n,metric,value
stage1,observed,Male,17151.0,,
stage1,observed,Female,3765.0,,
stage1,non_negative,Male,16213.0,,
stage1,non_negative,Female,3383.0,,
stage1,non_negative,Female,,mean,7.416789831510494
stage1,non_negative,Female,,median,6.0
stage1,non_negative,Male,,mean,8.4931228026892
stage1,non_negative,Male,,median,8.0
stage2,observed,Male,9107.0,,
stage2,observed,Female,1711.0,,
stage2,non_negative,Male,8969.0,,
stage2,non_negative,Female,1674.0,,
stage2,non_negative,Female,,mean,8.076463560334528
stage2,non_negative,Female,,median,7.0
stage2,non_negative,Male,,mean,8.48188203813134
stage2,non_negative,Male,,median,8.0
